id,evaluated_at,feedback,score,decision,panel_member_id,interview_id,candidate_id
0692262f-e360-411f-be2e-a8960d820125,2025-10-02,"Strong fit",1.74,Proceed,a9f34e18-a4c4-427f-951d-e72d792cc7aa,68966105-b923-410c-84eb-e378e608bb5b,d53814e1-3122-4730-9d7b-973a302e5376
07cf1106-8761-4253-b70c-c43ee316b3d3,2023-05-22,"No show",4.49,Proceed,50f9cbc1-6c76-41d1-ab19-82b8199428fe,43d52a09-41e3-4d63-a4cf-10f06b46f114,12845a9e-d330-4b9e-940f-070d0afce5b5
0a68750b-96b7-4a04-959c-a8654f6d106f,2023-12-07,Weak,4.14,Hold,c433a27d-19f4-47bb-8c9c-92e48f3a0ae6,33374868-5e07-4ff4-81c5-8a18385cfba0,1d0f487f-b68f-478e-9ebb-82d15002c1d0
0bcbdbe2-e58d-4997-8501-10791a6b4b2a,2025-02-21,Average,2.15,Reject,a6b9e182-8efb-40c4-963d-923da24621a0,8744464d-cf08-4a1b-a5ce-b69ff42e25ec,61b8a89b-4712-41ae-a195-a0bf3119aaf3
0d50f410-1d62-4298-af57-bdd747922339,2023-07-31,Weak,3.39,Reject,8c498c0c-a881-42d3-8c56-911b738bd528,bced34b6-2d9b-4d32-ade9-83fa29dab251,b64b8b16-e06d-40a2-946e-0f5ccfb2ae9e
0df1f953-d453-48e9-8c1e-4f66a71ab360,2023-09-21,Good,2.62,Reject,50f9cbc1-6c76-41d1-ab19-82b8199428fe,31739c54-431a-481b-9dc5-47a6ff07015d,b6c62436-5370-41fe-88f4-5a1d1ee646e5
0f2452b6-71e7-4738-9124-9a7f65686d53,2022-04-16,"No show",2.92,Reject,807cd085-3a00-499b-8ed3-66c5db074041,c286fe3b-2602-444c-aefc-ec4f7b43b778,e1d80291-d05d-4bf3-a084-a238b7c5bd9f
10920ec2-18f5-4dcd-895d-2e5fa9232b51,2023-05-17,Weak,2.19,Proceed,a9f34e18-a4c4-427f-951d-e72d792cc7aa,b5d4c4de-c8f5-48bb-b0c7-a980b4c9be6d,8a680d53-d057-4dc0-8ac2-3e942bc843cd
139fc3d9-1d42-45b8-8113-3d5378b10108,2022-06-11,Average,4.7,Reject,72e54aef-d0b8-489c-9bcc-4f7096b45d53,47f630ac-7195-40d8-b15d-f38ddf6674f6,bc40ea47-62d8-4b2b-8e8d-dac5a5d0ec5f
153b70d6-88d6-4817-8c1e-e028c12abac5,2025-09-17,"No show",1.53,Hold,807cd085-3a00-499b-8ed3-66c5db074041,0deffb9c-ff3c-4971-8a1f-5f8ca8f8bbc4,75a24a0b-ac9c-47b5-8430-c14bee370592
16df8113-8072-4a5c-9205-1f403d6179e7,2023-05-20,Average,3.23,Proceed,09b2db45-f73a-40bd-b1f8-bbcabd864ddc,789a349b-2def-4189-bbb1-83cde9a3a594,10deb03f-e941-427d-8f68-2d349e710a19
